	prot	gene	adt
0	CD101	IL2RA	Hu.CD101
1	CD103	ITGAE	Hu.CD103
2	CD105	ENG	Hu.CD105_43A3
3	CD107a	LAMP1	Hu.CD107a
4	CD112	PVRL2	Hu.CD112
5	CD119	IFNGR1	Hu.CD119
6	CD11a	ITGAL	Hu.CD11a
7	CD11b	ITGAM	Hu.CD11b
8	CD11c	ITGAX	Hu.CD11c
9	CD122	IL2RB	Hu.CD122
10	CD123	IL3RA	Hu.CD123
11	CD124	IL4R	Hu.CD124
12	CD127	IL7R	Hu.CD127
13	CD13	ANPEP	Hu.CD13
14	CD134	TNFRSF4	Hu.CD134
15	CD137	TNFRSF9	Hu.CD137
16	CD141	THBD	Hu.CD141
17	CD146	MCAM	Hu.CD146
18	CD14	CD14	Hu.CD14_M5E2
19	CD152	CTLA4	Hu.CD152
20	CD154	CD40LG	Hu.CD154
21	CD155	PVR	Hu.CD155
22	CD158	KIR2DL1	Hu.CD158
23	CD158b	KIR2DL2/3	Hu.CD158b
24	CD158e1	KIR3DL1	Hu.CD158e1
25	CD16	FCGR3A	Hu.CD16
26	CD161	KLRB1	Hu.CD161
27	CD163	CD163	Hu.CD163
28	CD169	SIGLEC1	Hu.CD169
29	CD18	ITGB2	Hu.CD18
30	CD183	CXCR3	Hu.CD183
31	CD185	CXCR5	Hu.CD185
32	CD19	CD19	Hu.CD19
33	CD194	CCR4	Hu.CD194
34	CD195	CCR5	Hu.CD195
35	CD196	CCR6	Hu.CD196
36	CD1c	CD1C	Hu.CD1c
37	CD1d	CD1D	Hu.CD1d
38	CD2	CD2	Hu.CD2
39	CD20	MS4A1	Hu.CD20_2H7
40	CD21	CR2	Hu.CD21
41	CD22	CD22	Hu.CD22
42	CD223	LAG3	Hu.CD223
43	CD224	SLAMF6	Hu.CD224
44	CD226	CD226	Hu.CD226_11A8
45	CD23	FCER2	Hu.CD23
46	CD24	CD24	Hu.CD24
47	CD244	CD244	Hu.CD244
48	CD25	IL2RA	Hu.CD25
49	CD26	DPP4	Hu.CD26
50	CD267	TNFSF13B	Hu.CD267
51	CD268	BAFFR(TNFRSF13C)	Hu.CD268
52	CD27	CD27	Hu.CD27
53	CD270	TNFRSF14	Hu.CD270
54	CD272	BTLA	Hu.CD272
55	CD274	PD-L1(CD274)	Hu.CD274
56	CD279	PD-1(PDCD1)	Hu.CD279
57	CD28	CD28	Hu.CD28
58	CD29	ITGB1	Hu.CD29
59	CD303	BDCA-2(CLEC4C)	Hu.CD303
60	CD31	PECAM1	Hu.CD31
61	CD314	KLRK1	Hu.CD314
62	CD319	SLAMF7	Hu.CD319
63	CD32	FCGR2A	Hu.CD32
64	CD328	SIGLEC10	Hu.CD328
65	CD33	CD33	Hu.CD33
66	CD335	NKp46(NCR1)	Hu.CD335
67	CD35	CR1	Hu.CD35
68	CD352	SLAMF6	Hu.CD352
69	CD36	CD36	Hu.CD36
70	CD38	CD38	Hu.CD38_HIT2
71	CD39	ENTPD1	Hu.CD39
72	CD3	CD3D	Hu.CD3_UCHT1
73	CD40	CD40	Hu.CD40
74	CD41	ITGA2B	Hu.CD41
75	CD42b	GP1BA	Hu.CD42b
76	CD45RA	PTPRC	Hu.CD45RA
77	CD45RO	PTPRC	Hu.CD45RO
78	CD45	PTPRC	Hu.CD45RA
79	CD47	CD47	Hu.CD47
80	CD48	CD48	Hu.CD48
81	CD49a	ITGA1	Hu.CD49a
82	CD49b	ITGA2	Hu.CD49b
83	CD49d	ITGA4	Hu.CD49d
84	CD4	CD4	Hu.CD4_RPA.T4
85	CD5	CD5	Hu.CD5
86	CD52	CD52	Hu.CD52
87	CD54	ICAM1	Hu.CD54
88	CD56	NCAM1	Hu.CD56
89	CD57	B3GAT1	Hu.CD57
90	CD58	CD58	Hu.CD58
91	CD62L	SELL	Hu.CD62L
92	CD62P	SELP	Hu.CD62P
93	CD64	FCGR1A	Hu.CD64
94	CD69	CD69	Hu.CD69
95	CD7	CD7	Hu.CD7
96	CD71	TFRC	Hu.CD71
97	CD73	NT5E	Hu.CD73
98	CD79b	CD79B	Hu.CD79b
99	CD8	CD8A	Hu.CD8
100	CD81	CD81	Hu.CD81
101	CD82	CD82	Hu.CD82
102	CD83	CD83	Hu.CD83
103	CD85j	LILRB1	Hu.CD85j
104	CD86	CD86	Hu.CD86
105	CD88	C5AR1	Hu.CD88
106	CD94	KLRD1	Hu.CD94
107	CD95	FAS	Hu.CD95
108	CD99	CD99	Hu.CD99
109	CLEC12A	CLEC12A	Hu.CLEC12A
110	CX3CR1	CX3CR1	Hu.CX3CR1
111	FceRIa	FCER1A	Hu.FceRIa
112	GPR56	ADGRG1	Hu.GPR56
113	HLA.ABC	HLA-A	Hu.HLA.ABC
114	HLA.DR	HLA-DRA	Hu.HLA.DR
115	HLA.E	HLA-E	Hu.HLA.E
116	Ig.LightChain.k	IGK	Hu.Ig.LightChain.k
117	Ig.LightChain.l	IGL	Hu.Ig.LightChain.l
118	IgD	IGHM	Hu.IgD
119	IgM	IGHD	Hu.IgM
120	KLRG1	KLRG1	Hu.KLRG1
121	LOX.1	OLR1	Hu.LOX.1
122	TCR.AB	TRA	Hu.TCR.AB
123	TCR.Va7.2	TRAV1-2	Hu.TCR.Va7.2
124	TCR.Vd2	TRDV2	Hu.TCR.Vd2
125	TIGIT	TIGIT	Hu.TIGIT
126	CD44	CD44	HuMs.CD44
127	CD49f	ITGA6	HuMs.CD49f
128	integrin.b7	ITGB7	HuMs.integrin.b7
129	CD278	ICOS	HuMsRt.CD278
